Category,Goods/Service Name,Price Unit (e.g. PC/HR/Event),Description,Currency,Price
Decorator,Premium Flower Gate,Event,Orchid and Marigold full gate decoration,INR,5000
Decorator,Stage Backdrop Setup,Event,Traditional vibrant cloth backdrop with led lights,INR,
Caterer,Standard South Indian Meals,PC,"Banana leaf serving with 4 curries, rice, and sweet",INR,
Caterer,North Indian Buffet Pan,PC,Naan and Paneer dish setup,INR,
Photographer,Wedding Coverage,Day,Full day event coverage including candid shots,INR,
Event Planner,Full Wedding Orchestration,Event,End-to-end management of vendors and schedule,INR,
Venue Provider,Open Garden Ground,Day,Can fit up to 300 guests for celebrations,INR,
Media and Design,Digital Invitation Card,PC,Custom painted Vedic style evite,INR,
Temple,Hall Rental for Puja,Event,Full day rental for temple premises including basic setup,INR,
Temple,Special Archana,Event,Temple specific ashtothara and deepa aradhana,INR,
Puja Supplies,Basic Havan Kit,PC,Complete standard samagri pack for regular havan,INR,
Puja Supplies,Pure Ghee (1 Kg),PC,Pure absolute clarified butter,INR,
Pandit,Ashtothara Archana,Event,Chanting of the 108 names of the Deity followed by fruit offering and Aarati,INR,
Pandit,Abhishekam,Event,"Bathing of the Deity of your choice with rose water, milk, yogurt, honey, sandalwood",INR,
Pandit,Kalyana Utsavam,Event,Wedding Ceremony to the Lord,INR,
Pandit,Sahasranaama Archana,Event,Chanting of the 1008 names of the Deity,INR,
Pandit,Pushpanjali,Event,Archana with flowers,INR,
Pandit,Vaahana Puja,Event,Vehicle (Car) Puja,INR,
Pandit,Annapraasanam,Event,First feeding of solid food to the baby,INR,
Pandit,Ayyappa Puja,Event,Detailed worship and bathing for Lord Ayyappa,INR,
Pandit,Bhoomi Puja,Event,Ground Breaking Ceremony,INR,
Pandit,Chaula Karma,Event,Hair offering ceremony,INR,
Pandit,Griha Pravesam,Event,House-Warming Ceremony,INR,
Pandit,Griha Shanti Homam,Event,Puja for Peace in the House,INR,
Pandit,Ganapathi Homam,Event,Standard Lord Ganesha Homam,INR,
Pandit,Navagraha Homam,Event,Elaborate Graha Shanti Homam,INR,
Pandit,Chandi Homam,Event,Worship of Goddess Durga to remove obstacles,INR,
Pandit,Ekadasha Rudra Abhishekam,Event,Elaborate Puja for all 11 forms of Rudra,INR,
Pandit,Naamakaranam,Event,Naming of the child,INR,
Pandit,Nakshatrashanti,Event,Puja for nakshatra peace,INR,
Pandit,Seemantham,Event,Puja in the 7th or 8th month of pregnancy,INR,
Pandit,Sashtiabdapoorty,Event,60th birthday celebration,INR,
Pandit,Upanayanam,Event,Thread Ceremony,INR,
Pandit,Vivaham,Event,Grand Wedding,INR,
Pandit,Masikam,Event,Monthly ancestral rites,INR,
Pandit,Shraadham (Sankalpam),Event,Annual ancestral rites,INR,
Pandit,Funeral Rites,Event,Antyeshti funeral standard rites,INR,
